时间,小区名称,小区上行平均激活用户数,小区下行平均激活用户数,下行平均使用的PRB个数,上行平均使用的PRB个数
2024/11/1 21:00,829,2.7434,6.5986,44.6041,20.6923
2024/11/1 22:00,829,2.4466,6.1395,46.3097,19.1061
2024/11/1 23:00,829,2.1972,5.4642,49.8368,17.8580
2024/11/16 0:00,829,2.0876,5.2406,45.9709,16.8733
2024/11/16 1:00,829,1.7621,4.1561,38.9388,15.3015
2024/11/16 2:00,829,1.4075,3.6584,32.8449,13.7091
2024/11/16 3:00,829,1.2482,3.2777,29.0984,13.0107
2024/11/16 4:00,829,1.2154,3.1697,27.9226,13.2266
2024/11/16 5:00,829,0.9344,2.4562,21.2726,12.2880
2024/11/16 6:00,829,0.6147,1.6691,13.9462,10.0399
2024/11/16 7:00,829,0.9775,2.5838,20.8265,11.7215
2024/11/16 8:00,829,1.3344,3.5889,27.7548,12.7407
2024/11/16 9:00,829,1.7504,4.4945,32.2883,14.3601
2024/11/16 10:00,829,1.9815,4.8911,31.3983,15.3898
2024/11/16 11:00,829,2.2465,5.4890,35.4642,16.8209
2024/11/16 12:00,829,2.1890,5.3738,40.0209,17.2771
2024/11/16 13:00,829,2.2891,5.7053,45.6765,16.5662
2024/11/16 14:00,829,2.7345,6.7569,53.1078,18.2915
2024/11/16 15:00,829,2.6109,6.4595,50.2773,17.8680
2024/11/16 16:00,829,3.0488,7.6182,54.8556,20.4472
2024/11/16 17:00,829,3.6001,8.8277,54.8910,23.2554
2024/11/16 18:00,829,3.4489,8.3324,51.9771,21.3969
2024/11/16 19:00,829,3.1443,7.6684,49.8789,20.5807
2024/11/16 20:00,829,3.1279,7.5503,52.2799,20.3500
2024/11/16 21:00,829,3.0950,7.5333,52.5396,20.7850
2024/11/16 22:00,829,2.8890,6.9250,58.1001,20.4272
2024/11/16 23:00,829,2.4720,6.2311,53.9433,19.5721
2024/11/1 0:00,835,0.6855,1.3718,17.5291,9.5781
2024/11/1 1:00,835,0.1837,0.4342,6.2908,6.3137
2024/11/1 2:00,835,0.1880,0.2832,3.9593,5.8459
2024/11/1 3:00,835,0.1897,0.2615,3.8594,5.8347
2024/11/1 4:00,835,0.1886,0.2320,3.5295,5.4673
2024/11/1 5:00,835,0.1831,0.2327,4.0909,5.9957
2024/11/1 6:00,835,0.4002,0.8687,10.7227,9.0420
2024/11/1 7:00,835,0.8861,1.9605,23.2349,10.8299
2024/11/1 8:00,835,1.4960,3.6356,38.9854,13.2858
2024/11/1 9:00,835,2.1129,4.8119,53.5870,15.9021
2024/11/1 10:00,835,2.4316,5.9478,56.1284,16.4821
2024/11/1 11:00,835,1.9505,4.8224,46.4650,14.9122
2024/11/1 12:00,835,0.8715,2.1627,21.5839,10.4407
2024/11/1 13:00,835,1.2086,2.9564,31.6906,11.9201
2024/11/1 14:00,835,2.6126,6.7102,58.9999,17.3058
2024/11/1 15:00,835,2.9199,7.1831,65.0970,17.6906
2024/11/1 16:00,835,2.1775,5.5411,54.0643,15.6950
2024/11/1 17:00,835,1.4839,3.5229,36.9300,13.1456
2024/11/1 18:00,835,2.9935,6.9671,57.9456,19.1172
2024/11/1 19:00,835,4.1795,9.8471,77.8180,23.3059
2024/11/1 20:00,835,3.6843,8.4133,75.4525,23.5178
2024/11/1 21:00,835,2.4469,5.0585,55.1319,18.0876
2024/11/1 22:00,835,1.7133,3.7207,44.5931,14.4676
2024/11/1 23:00,835,1.0801,2.3196,31.8673,11.1469
2024/11/16 0:00,835,0.5327,1.2596,16.6800,9.0738
2024/11/16 1:00,835,0.2477,0.5974,9.0751,9.0428
2024/11/16 2:00,835,0.1427,0.3486,6.3452,8.6248
2024/11/16 3:00,835,0.0986,0.2672,5.6089,8.2492
2024/11/16 4:00,835,0.1568,0.2304,5.0853,6.0058
2024/11/16 5:00,835,0.1568,0.3525,4.6415,5.9419
2024/11/16 6:00,835,0.4260,0.8799,10.3854,8.6571
2024/11/16 7:00,835,0.5409,1.2195,14.3966,9.5050
2024/11/16 8:00,835,0.9458,2.4752,25.3154,11.1601
2024/11/16 9:00,835,1.1316,2.7933,27.6355,11.6488
2024/11/16 10:00,835,1.1801,2.9876,29.4358,11.6402
2024/11/16 11:00,835,0.9953,2.5907,26.4546,10.6532
2024/11/16 12:00,835,1.0999,2.7502,23.9253,10.9578
2024/11/16 13:00,835,1.0778,2.9319,26.9900,11.0536
2024/11/16 14:00,835,1.1482,2.9267,32.6503,11.8645
2024/11/16 15:00,835,1.0923,2.8415,30.7263,11.4888
2024/11/16 16:00,835,1.2112,3.1719,34.2571,11.8776
2024/11/16 17:00,835,1.1555,2.8704,27.9218,11.7104
2024/11/16 18:00,835,1.0646,2.8016,33.1428,11.3172
2024/11/16 19:00,835,1.5022,3.6227,44.5450,13.8641
2024/11/16 20:00,835,2.6642,5.9241,58.2823,19.2659
2024/11/16 21:00,835,2.5272,5.5208,56.1349,17.5639
2024/11/16 22:00,835,1.5936,3.7166,41.7084,13.4805
2024/11/16 23:00,835,1.0234,2.3149,28.3014,11.0180
2024/11/1 0:00,836,0.2553,0.7149,9.0584,8.1951
2024/11/1 1:00,836,0.1506,0.3654,5.2940,5.6513
2024/11/1 2:00,836,0.1518,0.3366,3.8243,5.3963
2024/11/1 3:00,836,0.1527,0.3062,3.6908,5.2945
2024/11/1 4:00,836,0.1522,0.2767,3.4547,5.0441
2024/11/1 5:00,836,0.1435,0.2227,3.7446,5.4816
2024/11/1 6:00,836,0.0943,0.3075,5.1085,7.8820
2024/11/1 7:00,836,0.1712,0.5351,6.2669,8.2913
2024/11/1 8:00,836,0.5597,1.8280,11.3784,10.3293
2024/11/1 9:00,836,0.9258,2.9621,14.7916,11.8825
2024/11/1 10:00,836,0.9872,3.1996,18.6853,12.2024
2024/11/1 11:00,836,0.8883,2.7644,16.9820,11.5570
2024/11/1 12:00,836,0.4941,1.5250,11.6558,9.9445
2024/11/1 13:00,836,0.4078,1.2686,10.1704,9.2648
2024/11/1 14:00,836,0.6388,1.9252,12.1039,10.5258
2024/11/1 15:00,836,0.6178,1.9352,12.1133,10.5183
2024/11/1 16:00,836,0.6342,1.9861,12.3635,10.2501
2024/11/1 17:00,836,0.5363,1.5494,11.2076,10.2466
2024/11/1 18:00,836,0.3786,1.1526,8.6690,9.2629
2024/11/1 19:00,836,0.4404,1.4012,10.1750,9.7732
2024/11/1 20:00,836,0.3942,1.3451,10.2176,9.1488
2024/11/1 21:00,836,0.4764,1.3737,11.1073,9.7201
2024/11/1 22:00,836,0.4324,1.2553,10.7110,9.2932
2024/11/1 23:00,836,0.3820,1.1155,10.7777,9.0331
2024/11/16 0:00,836,0.4191,1.1185,12.6161,9.0000
2024/11/16 1:00,836,0.3413,0.9858,10.7551,9.5201
2024/11/16 2:00,836,0.2357,0.7056,9.0675,9.5673
2024/11/16 3:00,836,0.1141,0.4437,6.3495,8.6801
2024/11/16 4:00,836,0.1536,0.2743,5.4506,6.0006
2024/11/16 5:00,836,0.1536,0.3105,4.7436,5.9300
2024/11/16 6:00,836,0.1295,0.4141,5.6022,8.0888
2024/11/16 7:00,836,0.1674,0.5837,6.8450,8.3352
2024/11/16 8:00,836,0.3563,1.1048,10.5678,9.1909
2024/11/16 9:00,836,0.5227,1.4863,13.8516,9.7656
2024/11/16 10:00,836,0.4652,1.4162,11.0059,9.4838
2024/11/16 11:00,836,0.5610,1.5880,13.0076,10.0122
2024/11/16 12:00,836,0.5574,1.6664,14.2737,10.1093
2024/11/16 13:00,836,0.4390,1.3702,12.0266,9.2830
2024/11/16 14:00,836,0.4664,1.5257,12.2804,9.3451
2024/11/16 15:00,836,0.4364,1.3685,12.0811,9.2278
2024/11/16 16:00,836,0.4058,1.3120,10.3393,9.2418
2024/11/16 17:00,836,0.4976,1.4653,11.4046,9.7236
2024/11/16 18:00,836,0.6153,1.5722,11.3189,10.5351
2024/11/16 19:00,836,0.6489,1.9332,12.6395,10.6007
2024/11/16 20:00,836,0.6034,1.7970,13.3728,10.1542
2024/11/16 21:00,836,0.6331,1.7900,14.5111,9.9170
2024/11/16 22:00,836,0.6208,1.7165,14.0902,9.8094
2024/11/16 23:00,836,0.4770,1.4493,12.1435,9.6418
2024/11/1 0:00,848,1.2461,4.1288,27.4432,11.7828
2024/11/1 1:00,848,0.5247,1.4617,14.1364,9.4564
2024/11/1 2:00,848,0.3208,0.8114,10.3986,8.6411
2024/11/1 3:00,848,0.2796,0.7842,8.6777,8.5313
2024/11/1 4:00,848,0.4008,1.2710,9.5612,8.6912
2024/11/1 5:00,848,0.3245,0.9803,7.7389,8.4458
2024/11/1 6:00,848,0.2069,0.6017,6.2383,8.2096
2024/11/1 7:00,848,0.2372,0.6124,7.7996,8.4866
2024/11/1 8:00,848,0.3043,0.8402,9.8256,8.7587
2024/11/1 9:00,848,0.3718,1.2112,11.7816,9.1097
2024/11/1 10:00,848,0.4980,1.4970,15.2247,9.5033
2024/11/1 11:00,848,0.6028,1.6666,16.4316,9.7569
2024/11/1 12:00,848,0.8211,2.3525,20.1826,10.3735
2024/11/1 13:00,848,0.5736,1.6018,15.9519,9.5494
2024/11/1 14:00,848,0.4415,1.3363,13.6631,9.0269
2024/11/1 15:00,848,0.5420,1.6612,16.0397,9.5516
2024/11/1 16:00,848,0.6531,1.8003,16.5014,9.8621
2024/11/1 17:00,848,0.7518,2.1717,16.3620,10.4341
2024/11/1 18:00,848,0.9907,2.6346,20.1481,11.0891
2024/11/1 19:00,848,1.1201,2.7112,23.2169,11.3184
2024/11/1 20:00,848,1.1858,2.9487,23.4387,11.5293
2024/11/1 21:00,848,1.7728,4.7170,29.2002,13.2113
2024/11/1 22:00,848,1.7619,4.7861,32.9759,14.1031
2024/11/1 23:00,848,2.1657,5.7110,40.0949,15.4273
2024/11/16 0:00,848,2.1019,6.2192,32.5773,12.9841
2024/11/16 1:00,848,0.9849,2.9721,18.0558,10.1143
2024/11/16 2:00,848,0.5460,1.9873,10.8630,9.0784
2024/11/16 3:00,848,0.4711,1.7537,10.2064,8.9779
2024/11/16 4:00,848,0.6970,2.8050,12.5577,9.4042
2024/11/16 5:00,848,0.3891,1.5635,7.9902,8.7784
2024/11/16 6:00,848,0.1817,0.6609,6.1176,8.1462
2024/11/16 7:00,848,0.2450,0.7650,7.3273,8.3680
2024/11/16 8:00,848,0.2816,0.9255,8.7168,8.5658
2024/11/16 9:00,848,0.5127,1.6830,12.6592,9.2499
2024/11/16 10:00,848,0.6429,2.0979,16.5738,9.9550
2024/11/16 11:00,848,0.8549,2.6628,19.1961,10.4986
2024/11/16 12:00,848,0.7113,2.4905,16.6147,10.0531
2024/11/16 13:00,848,0.8266,2.5486,17.7871,10.6077
2024/11/16 14:00,848,0.6946,2.1518,15.5273,9.6973
2024/11/16 15:00,848,0.5998,2.0126,14.5705,9.3572
2024/11/16 16:00,848,0.7053,2.3830,16.4114,9.6049
2024/11/16 17:00,848,0.9281,3.0816,17.2432,10.6974
2024/11/16 18:00,848,1.1170,3.3519,18.9657,11.2406
2024/11/16 19:00,848,1.2408,3.6743,21.8597,11.2370
2024/11/16 20:00,848,1.5798,4.6171,24.8921,12.6384
2024/11/16 21:00,848,2.2846,6.3880,28.6113,14.1060
2024/11/16 22:00,848,3.0919,8.2331,34.5677,16.5211
2024/11/16 23:00,848,3.1390,9.4252,40.8834,15.7829
2024/11/1 0:00,854,1.3380,3.3310,22.8133,12.3238
2024/11/1 1:00,854,0.8292,2.3667,14.7517,10.5524
2024/11/1 2:00,854,0.7225,1.9104,12.0123,10.0341
2024/11/1 3:00,854,0.5947,1.5790,8.9731,9.4177
2024/11/1 4:00,854,0.1643,0.3762,5.7651,6.1720
2024/11/1 5:00,854,0.2423,0.5159,5.9860,8.3614
2024/11/1 6:00,854,0.4613,1.2257,8.8410,9.2076
2024/11/1 7:00,854,1.0599,2.8810,16.3099,11.0962
2024/11/1 8:00,854,1.4873,4.0501,21.1920,12.8958
2024/11/1 9:00,854,1.4348,4.3518,20.4598,12.9520
2024/11/1 10:00,854,1.4177,4.2699,20.4464,13.0298
2024/11/1 11:00,854,1.2876,3.9146,19.7459,12.3536
2024/11/1 12:00,854,1.4733,3.8883,24.0708,13.1616
2024/11/1 13:00,854,1.3127,3.8356,23.1002,12.1530
2024/11/1 14:00,854,1.1928,3.4837,20.6292,12.0015
2024/11/1 15:00,854,1.2256,3.5481,18.6319,12.0602
2024/11/1 16:00,854,1.4379,4.0683,20.7502,12.9938
2024/11/1 17:00,854,1.7690,4.9262,24.0408,14.1116
2024/11/1 18:00,854,2.1984,5.5626,25.6075,15.5103
2024/11/1 19:00,854,2.2966,5.8547,29.1133,16.0630
2024/11/1 20:00,854,2.3054,5.9254,30.2555,16.0262
2024/11/1 21:00,854,2.2914,5.7410,32.1427,15.6732
2024/11/1 22:00,854,2.1944,5.3089,33.8894,16.0105
2024/11/1 23:00,854,1.8174,4.2816,27.6845,14.4735
2024/11/16 0:00,854,1.4191,3.8907,21.5710,12.1881
2024/11/16 1:00,854,0.9667,2.8563,15.5593,11.0938
2024/11/16 2:00,854,0.7239,2.1145,11.2947,9.9914
2024/11/16 3:00,854,0.5820,1.5725,8.7540,9.3012
2024/11/16 4:00,854,0.1588,0.4686,6.0933,6.1426
2024/11/16 5:00,854,0.2749,0.5791,6.3988,8.5700
2024/11/16 6:00,854,0.4428,1.1431,8.8893,9.1777
2024/11/16 7:00,854,0.9050,2.4867,15.1173,10.9276
2024/11/16 8:00,854,1.3927,3.8979,19.2807,13.0173
2024/11/16 9:00,854,1.5861,4.4436,20.7233,13.6248
2024/11/16 10:00,854,1.5717,4.3426,22.8843,13.4879
2024/11/16 11:00,854,1.6047,4.2224,24.6966,14.0684
2024/11/16 12:00,854,1.4865,3.8379,23.9362,13.2415
2024/11/16 13:00,854,1.4035,3.7281,23.3611,13.1968
2024/11/16 14:00,854,1.3214,3.6194,23.0647,12.9063
2024/11/16 15:00,854,1.2903,3.5791,20.5671,12.9216
2024/11/16 16:00,854,1.3633,3.7173,21.3025,12.6682
2024/11/16 17:00,854,1.7723,4.6497,24.1656,14.4185
2024/11/16 18:00,854,2.0655,5.0865,29.5768,16.1751
2024/11/16 19:00,854,2.1102,5.2813,30.3213,16.6546
2024/11/16 20:00,854,2.1961,5.7295,31.3427,16.6044
2024/11/16 21:00,854,2.1445,5.2912,29.2296,15.6948
2024/11/16 22:00,854,1.9006,4.7892,30.2911,14.0198
2024/11/16 23:00,854,1.6535,4.2558,28.4571,13.0303
2024/11/1 0:00,886,0.1381,0.3810,5.6470,7.9729
2024/11/1 1:00,886,0.1542,0.3489,5.5662,6.0732
2024/11/1 2:00,886,0.1628,0.4285,4.4938,5.9952
2024/11/1 3:00,886,0.1564,0.3946,4.4223,6.0356
2024/11/1 4:00,886,0.1565,0.3522,4.0959,6.0655
2024/11/1 5:00,886,0.1462,0.2311,4.2413,6.1672
2024/11/1 6:00,886,0.0570,0.1703,4.3679,7.6097
2024/11/1 7:00,886,0.1211,0.3898,5.1821,8.0186
2024/11/1 8:00,886,0.3032,0.9419,7.4926,8.6170
2024/11/1 9:00,886,0.4023,1.3529,8.6460,9.1131
2024/11/1 10:00,886,0.4911,1.5418,9.7389,9.6383
2024/11/1 11:00,886,0.5113,1.5492,10.1904,9.5926
2024/11/1 12:00,886,0.4312,1.2761,9.8000,9.2555
2024/11/1 13:00,886,0.3991,1.2025,8.7428,8.9542
2024/11/1 14:00,886,0.4955,1.4799,9.6127,9.3359
2024/11/1 15:00,886,0.6847,2.0454,11.8693,10.1855
2024/11/1 16:00,886,0.7207,2.1123,11.9449,9.8924
2024/11/1 17:00,886,0.7229,2.0465,11.7262,9.8078
2024/11/1 18:00,886,0.7172,1.9955,11.4221,9.7424
2024/11/1 19:00,886,0.5293,1.5835,10.0510,9.2277
2024/11/1 20:00,886,0.4760,1.4206,9.3174,9.2001
2024/11/1 21:00,886,0.3972,1.1449,8.1678,9.1397
2024/11/1 22:00,886,0.3214,0.8564,7.5319,9.1769
2024/11/1 23:00,886,0.2141,0.5692,6.5573,8.4740
2024/11/16 0:00,886,0.1280,0.3997,5.7346,8.0492
2024/11/16 1:00,886,0.0984,0.2967,5.5923,8.6619
2024/11/16 2:00,886,0.0729,0.2203,5.3878,8.5784
2024/11/16 3:00,886,0.0695,0.2015,5.2140,8.1501
2024/11/16 4:00,886,0.1434,0.1886,5.0840,6.0041
2024/11/16 5:00,886,0.1434,0.2569,4.3968,5.9300
2024/11/16 6:00,886,0.0542,0.1729,4.4082,7.6070
2024/11/16 7:00,886,0.1086,0.3420,5.0680,7.9158
2024/11/16 8:00,886,0.2529,0.7987,6.5330,8.4417
2024/11/16 9:00,886,0.4074,1.2924,8.1186,8.9358
2024/11/16 10:00,886,0.4794,1.5088,9.9185,9.2763
2024/11/16 11:00,886,0.5746,1.7102,10.7302,9.5245
2024/11/16 12:00,886,0.4584,1.3107,9.1922,9.1473
2024/11/16 13:00,886,0.3971,1.1860,8.2974,8.8556
2024/11/16 14:00,886,0.5031,1.3922,9.1597,9.2684
2024/11/16 15:00,886,0.6539,1.8781,11.1858,9.8748
2024/11/16 16:00,886,0.7178,2.0075,12.2319,9.9651
2024/11/16 17:00,886,0.7500,2.0284,12.5297,9.8225
2024/11/16 18:00,886,0.6596,1.8181,11.5280,9.5187
2024/11/16 19:00,886,0.5594,1.5658,10.2585,9.2295
2024/11/16 20:00,886,0.4751,1.3484,9.2041,9.2040
2024/11/16 21:00,886,0.3883,1.0988,7.8448,8.9255
2024/11/16 22:00,886,0.2240,0.6447,6.1366,8.3794
2024/11/16 23:00,886,0.1618,0.4827,5.7456,8.1942
2024/11/1 0:00,888,0.0487,0.1429,4.2235,7.4567
2024/11/1 1:00,888,0.1612,0.1794,5.3375,6.0977
2024/11/1 2:00,888,0.1658,0.4095,4.5300,6.0298
2024/11/1 3:00,888,0.1677,0.3829,4.4944,6.0745
2024/11/1 4:00,888,0.1675,0.3363,4.1095,6.0307
2024/11/1 5:00,888,0.1553,0.2112,4.2355,6.2080
2024/11/1 6:00,888,0.0420,0.1269,4.0727,7.3945
2024/11/1 7:00,888,0.0472,0.1437,4.1777,7.5156
2024/11/1 8:00,888,0.0608,0.2026,4.3302,7.6637
2024/11/1 9:00,888,0.0600,0.2178,4.3184,7.6953
2024/11/1 10:00,888,0.0642,0.2269,4.3300,7.7107
2024/11/1 11:00,888,0.0597,0.2055,4.3300,7.7018
2024/11/1 12:00,888,0.0514,0.1700,4.3167,7.6088
2024/11/1 13:00,888,0.0512,0.1665,4.2946,7.6267
2024/11/1 14:00,888,0.0627,0.2086,4.4870,7.7148
2024/11/1 15:00,888,0.0620,0.2268,4.3897,7.6968
2024/11/1 16:00,888,0.0773,0.2784,4.5110,7.7491
2024/11/1 17:00,888,0.0994,0.3508,4.6759,7.8400
2024/11/1 18:00,888,0.0872,0.3051,4.4978,7.8082
2024/11/1 19:00,888,0.0636,0.2082,4.3490,7.6956
2024/11/1 20:00,888,0.0619,0.1881,4.3704,7.6890
2024/11/1 21:00,888,0.0525,0.1619,4.2685,7.6519
2024/11/1 22:00,888,0.0465,0.1375,4.3296,7.6084
2024/11/1 23:00,888,0.0487,0.1522,4.2576,7.5591
2024/11/16 0:00,888,0.0471,0.1468,4.3999,7.6341
2024/11/16 1:00,888,0.0439,0.0980,5.0879,8.1029
2024/11/16 2:00,888,0.0415,0.1102,5.3036,8.3802
2024/11/16 3:00,888,0.0349,0.0912,5.3703,8.1126
2024/11/16 4:00,888,0.1515,0.1842,5.6550,6.0806
2024/11/16 5:00,888,0.1515,0.2631,4.8956,6.0040
2024/11/16 6:00,888,0.0403,0.1137,4.0952,7.4133
2024/11/16 7:00,888,0.0430,0.1274,4.1450,7.5252
2024/11/16 8:00,888,0.0557,0.1767,4.3816,7.6464
2024/11/16 9:00,888,0.0591,0.1971,4.3269,7.6567
2024/11/16 10:00,888,0.0636,0.2203,4.3953,7.7127
2024/11/16 11:00,888,0.0590,0.2023,4.3893,7.7080
